family,dataset,sequence_length,model_seed,draw,metric,evaluator_seed,value,lower_is_better,sample_count,real_reference_sha256,generated_sha256,evaluator_source,runtime_seconds,gpu
Diffusion-TS,AirQuality,64,0,100000,context_fid,0,0.2187510776496959,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/evaluators/AirQuality/T64/ts2vec_seed_0.pt,1.3105456829071045,2
Diffusion-TS,AirQuality,64,0,100000,context_fid,42,0.2388632459713761,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/evaluators/AirQuality/T64/ts2vec_seed_42.pt,1.2609403133392334,2
Diffusion-TS,AirQuality,64,0,100000,context_fid,123,0.23655017678988324,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/evaluators/AirQuality/T64/ts2vec_seed_123.pt,1.2991116046905518,0
Diffusion-TS,AirQuality,64,0,100000,correlation_score,-1,0.10242120921611786,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.0506739616394043,2
Diffusion-TS,AirQuality,64,0,100000,discriminative_score,0,0.12317073170731707,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/discriminative_metric.py,33.008458614349365,1
Diffusion-TS,AirQuality,64,0,100000,discriminative_score,42,0.10853658536585364,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/discriminative_metric.py,32.36893320083618,2
Diffusion-TS,AirQuality,64,0,100000,discriminative_score,123,0.09268292682926826,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/discriminative_metric.py,32.186970949172974,0
Diffusion-TS,AirQuality,64,0,100000,predictive_score,0,0.019938334548214698,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/predictive_metric.py,65.81261801719666,2
Diffusion-TS,AirQuality,64,0,100000,predictive_score,42,0.02010570998578487,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/predictive_metric.py,67.06553959846497,0
Diffusion-TS,AirQuality,64,0,100000,predictive_score,123,0.021513257595529467,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,9885c06b0b72d92b053eb58344c90990fc66294fe46979d2b86022db59746ef4,/path/to/Diffusion-TS/Utils/predictive_metric.py,66.49909138679504,1
Diffusion-TS,AirQuality,64,0,100001,context_fid,0,0.2259620738419958,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/evaluators/AirQuality/T64/ts2vec_seed_0.pt,1.2944691181182861,2
Diffusion-TS,AirQuality,64,0,100001,context_fid,42,0.2517188444242018,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/evaluators/AirQuality/T64/ts2vec_seed_42.pt,1.3040709495544434,1
Diffusion-TS,AirQuality,64,0,100001,context_fid,123,0.24264758448534018,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/evaluators/AirQuality/T64/ts2vec_seed_123.pt,1.3040287494659424,0
Diffusion-TS,AirQuality,64,0,100001,correlation_score,-1,0.10247133672237396,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/Diffusion-TS/Utils/cross_correlation.py,0.052948951721191406,2
Diffusion-TS,AirQuality,64,0,100001,discriminative_score,0,0.11646341463414633,True,4096,08866e0a33d9b75e91a981c6031b183546043fc0bf762d0e9377bc734a6c4c09,8380ee826f8b5e318ee13f84ee0aca034017c2bf91817af2629099900d4bfdcd,/path/to/Diffusion-TS/Utils/discriminative_metric.py,32.684491872787476,2
